Date,Timestamp [ms],Requests generated,CPU capacity provisioned [MHZ],CPU usage [MHZ],CPU usage [%],Memory capacity provisioned [KB],Memory usage [KB],Memory usage [%]
2013-08-13 06:25:49,1376355349,15,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0
2013-08-13 06:30:49,1376355649,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
2013-08-13 06:35:49,1376355949,15,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0
2013-08-13 06:40:49,1376356249,16,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0
2013-08-13 06:45:49,1376356549,14,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0
2013-08-13 06:50:49,1376356849,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
2013-08-13 06:55:49,1376357149,14,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0
2013-08-13 07:00:49,1376357449,14,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0
2013-08-13 07:05:49,1376357749,13,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0
2013-08-13 07:10:49,1376358049,34,11703.99824,134.59597975999998,1.15,67108864.0,715827.2,1.0666656494140625
2013-08-13 07:15:49,1376358349,26,11703.99824,76.07598856,0.65,67108864.0,1342176.0,1.9999980926513672
2013-08-13 07:20:49,1376358649,16,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,223696.0,0.33333301544189453
2013-08-13 07:25:49,1376358949,16,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0
2013-08-13 07:30:50,1376359250,14,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0
2013-08-13 07:35:50,1376359550,14,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0
2013-08-13 07:40:50,1376359850,16,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0
2013-08-13 07:45:50,1376360150,15,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0
2013-08-13 07:50:50,1376360450,13,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0
2013-08-13 07:55:50,1376360750,17,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0
2013-08-13 08:00:50,1376361050,17,11703.99824,78.02665493333333,0.6666666666666667,67108864.0,0.0,0.0
2013-08-13 08:05:50,1376361350,16,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0
2013-08-13 08:10:50,1376361650,17,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0
2013-08-13 08:15:50,1376361950,16,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0
2013-08-13 08:20:50,1376362250,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
2013-08-13 08:25:50,1376362550,17,11703.99824,76.07598856,0.65,67108864.0,0.0,0.0
2013-08-13 08:30:49,1376362849,15,11703.99824,70.22398944000001,0.6,67108864.0,0.0,0.0
2013-08-13 08:35:49,1376363149,15,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0
2013-08-13 08:40:49,1376363449,16,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0
2013-08-13 08:45:49,1376363749,15,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0
2013-08-13 08:50:49,1376364049,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
2013-08-13 08:55:49,1376364349,14,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0
2013-08-13 09:00:50,1376364650,17,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,134217.6,0.19999980926513672
2013-08-13 09:05:50,1376364950,15,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,223696.0,0.33333301544189453
2013-08-13 09:10:50,1376365250,16,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0
2013-08-13 09:15:50,1376365550,15,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0
2013-08-13 09:20:50,1376365850,16,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,402652.8,0.5999994277954102
2013-08-13 09:25:50,1376366150,18,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,268435.2,0.39999961853027344
2013-08-13 09:30:50,1376366450,16,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0
2013-08-13 09:35:50,1376366750,15,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0
2013-08-13 09:40:50,1376367050,16,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0
2013-08-13 09:45:50,1376367350,17,11703.99824,78.02665493333333,0.6666666666666667,67108864.0,0.0,0.0
2013-08-13 09:50:50,1376367650,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
2013-08-13 09:55:50,1376367950,13,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0
2013-08-13 10:00:50,1376368250,16,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,178956.8,0.2666664123535156
2013-08-13 10:05:50,1376368550,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,89478.4,0.1333332061767578
2013-08-13 10:10:50,1376368850,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
2013-08-13 10:15:50,1376369150,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
2013-08-13 10:20:50,1376369450,14,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0
2013-08-13 10:25:50,1376369750,13,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0
2013-08-13 10:30:50,1376370050,14,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0
2013-08-13 10:35:50,1376370350,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
2013-08-13 10:40:50,1376370650,14,11703.99824,62.42132394666667,0.5333333333333333,67108864.0,0.0,0.0
2013-08-13 10:45:50,1376370950,16,11703.99824,74.12532218666666,0.6333333333333333,67108864.0,0.0,0.0
2013-08-13 10:50:50,1376371250,14,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0
2013-08-13 10:55:50,1376371550,13,11703.99824,58.51999120000001,0.5,67108864.0,0.0,0.0
2013-08-13 11:00:50,1376371850,14,11703.99824,66.32265669333334,0.5666666666666667,67108864.0,0.0,0.0
2013-08-13 11:05:50,1376372150,15,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0
2013-08-13 11:10:50,1376372450,13,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0
2013-08-13 11:15:50,1376372750,14,11703.99824,64.37199032000001,0.55,67108864.0,0.0,0.0
2013-08-13 11:20:50,1376373050,15,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0
2013-08-13 11:25:50,1376373350,13,11703.99824,60.47065757333333,0.5166666666666666,67108864.0,0.0,0.0
2013-08-13 11:30:51,1376373651,15,11703.99824,68.27332306666668,0.5833333333333334,67108864.0,0.0,0.0
2013-08-13 11:35:51,1376373951,16,11703.99824,72.17465581333335,0.6166666666666667,67108864.0,0.0,0.0
